Model,Poison_Rate,Delta_F1,Clean_F1,Score_F1
Random Forest,0%,0.0,0.4562,0.4562
Random Forest,10%,0.0246,0.4562,0.4316
Random Forest,20%,0.0506,0.4562,0.4056
Random Forest,30%,0.0907,0.4562,0.3655
AdaBoost,0%,0.0,0.2864,0.2864
AdaBoost,10%,-0.005,0.2864,0.2914
AdaBoost,20%,0.0041,0.2864,0.2823
AdaBoost,30%,0.0062,0.2864,0.2802
XGBoost,0%,0.0,0.6296,0.6296
XGBoost,10%,0.0511,0.6296,0.5785
XGBoost,20%,0.1444,0.6296,0.4852
XGBoost,30%,0.237,0.6296,0.3926
LightGBM,0%,0.0,0.5154,0.5154
LightGBM,10%,0.0237,0.5154,0.4917
LightGBM,20%,0.0618,0.5154,0.4536
LightGBM,30%,0.1255,0.5154,0.3899
