Model,Poison_Rate,DR,Precision,Recall,F1,Accuracy,AUC,FPR,Train_Time_s
Majority Voting,0%,0.8917,0.3963,0.8917,0.5488,0.8749,0.9622,0.1266,0.17
Majority Voting,10%,0.8822,0.363,0.8822,0.5144,0.8579,0.9523,0.1443,0.15
Majority Voting,20%,0.8506,0.3213,0.8506,0.4664,0.834,0.9256,0.1676,0.17
Majority Voting,30%,0.7921,0.2683,0.7921,0.4009,0.798,0.8762,0.2014,0.15
Prob Averaging,0%,0.8901,0.3902,0.8901,0.5425,0.8719,0.9545,0.1297,0.12
Prob Averaging,10%,0.8783,0.3597,0.8783,0.5103,0.8562,0.9443,0.1458,0.11
Prob Averaging,20%,0.8411,0.3107,0.8411,0.4537,0.8272,0.9164,0.1741,0.12
Prob Averaging,30%,0.8,0.2676,0.8,0.401,0.7962,0.8725,0.2042,0.1
Sequential,0%,0.751,0.8732,0.751,0.8075,0.9695,0.981,0.0102,0.48
Sequential,10%,0.6372,0.7988,0.6372,0.7089,0.9554,0.9651,0.015,0.42
Sequential,20%,0.4735,0.7182,0.4735,0.5707,0.9392,0.9302,0.0173,0.4
Sequential,30%,0.2964,0.6625,0.2964,0.4096,0.9271,0.8794,0.0141,0.4
