Model,Poison_Rate,DR,Precision,Recall,F1,Accuracy,AUC,FPR,Train_Time_s
Random Forest,0%,0.8126,0.3171,0.8126,0.4562,0.8347,0.9162,0.1632,5.81
Random Forest,10%,0.8024,0.2952,0.8024,0.4316,0.8198,0.9051,0.1786,5.27
Random Forest,20%,0.7834,0.2737,0.7834,0.4056,0.8042,0.8852,0.1939,5.12
Random Forest,30%,0.7478,0.2419,0.7478,0.3655,0.7786,0.8412,0.2186,5.24
AdaBoost,0%,0.6617,0.1828,0.6617,0.2864,0.7187,0.7651,0.2759,31.32
AdaBoost,10%,0.6822,0.1853,0.6822,0.2914,0.717,0.774,0.2798,30.81
AdaBoost,20%,0.6917,0.1773,0.6917,0.2823,0.7,0.7681,0.2992,31.9
AdaBoost,30%,0.664,0.1776,0.664,0.2802,0.709,0.7488,0.2868,35.39
XGBoost,0%,0.936,0.4744,0.936,0.6296,0.9061,0.9758,0.0967,0.99
XGBoost,10%,0.9091,0.4242,0.9091,0.5785,0.887,0.9638,0.1151,1.09
XGBoost,20%,0.8617,0.3377,0.8617,0.4852,0.844,0.9278,0.1576,1.05
XGBoost,30%,0.7913,0.2611,0.7913,0.3926,0.7912,0.8667,0.2088,1.03
LightGBM,0%,0.8798,0.3644,0.8798,0.5154,0.8589,0.9474,0.1431,1.4
LightGBM,10%,0.8767,0.3417,0.8767,0.4917,0.8454,0.9378,0.1575,1.25
LightGBM,20%,0.8443,0.3101,0.8443,0.4536,0.8265,0.9171,0.1752,1.77
LightGBM,30%,0.7976,0.258,0.7976,0.3899,0.7871,0.8688,0.2139,1.6
