Model,Poison_Rate,DR,Precision,Recall,F1,Accuracy,AUC,FPR,Train_Time_s
Random Forest,0%,0.8126,0.3171,0.8126,0.4562,0.8347,0.9162,0.1632,5.75
Random Forest,10%,0.8024,0.2952,0.8024,0.4316,0.8198,0.9051,0.1786,5.16
Random Forest,20%,0.7834,0.2737,0.7834,0.4056,0.8042,0.8852,0.1939,5.2
Random Forest,30%,0.7478,0.2419,0.7478,0.3655,0.7786,0.8412,0.2186,5.26
XGBoost,0%,0.936,0.4744,0.936,0.6296,0.9061,0.9758,0.0967,0.92
XGBoost,10%,0.9091,0.4242,0.9091,0.5785,0.887,0.9638,0.1151,0.93
XGBoost,20%,0.8617,0.3377,0.8617,0.4852,0.844,0.9278,0.1576,0.91
XGBoost,30%,0.7913,0.2611,0.7913,0.3926,0.7912,0.8667,0.2088,0.91
LinearSVC,0%,0.4957,0.1915,0.4957,0.2762,0.7784,0.6942,0.1952,48.76
LinearSVC,10%,0.4814,0.1652,0.4814,0.246,0.7482,0.6739,0.2269,34.17
LinearSVC,20%,0.4909,0.1634,0.4909,0.2452,0.7422,0.6744,0.2344,24.51
LinearSVC,30%,0.4656,0.147,0.4656,0.2234,0.7239,0.6504,0.252,24.42
